"","x"
"Achnanthes_subhudsonis",1
"Achnanthidium_altergracillima",1
"Achnanthidium_deflexum",0
"Achnanthidium_exiguum",1
"Achnanthidium_minutissimum",1
"Achnanthidium_pyrenaicum",0
"Achnanthidium_rivulare",0
"Achnanthidium_thienemannii",1
"Amphora_copulata",1
"Amphora_pediculus",1
"Asterionella_formosa",0
"Aulacoseira_granulata",1
"Brachysira_brebissonii",1
"Caloneis_bacillum",1
"Cocconeis_pediculus",0
"Cocconeis_placentula",0
"Ctenophora_pulchella",1
"Cyclotella_atomus",1
"Cyclotella_meneghiniana",1
"Cymbella_tumida",1
"Diatoma_moniliformis",1
"Diatoma_tenuis",1
"Diatoma_vulgaris",1
"Discostella_pseudostelligera",1
"Discostella_stelligera",1
"Encyonema_minutum",0
"Encyonema_silesiacum",0
"Eolimna_minima",1
"Eolimna_subminuscula",1
"Eucocconeis_laevis",1
"Eunotia_bilunaris",1
"Eunotia_exigua",1
"Eunotia_formica",1
"Eunotia_implicata",1
"Eunotia_incisa",1
"Eunotia_minor",1
"Eunotia_pectinalis",1
"Eunotia_rhomboidea",1
"Fragilaria_capucina",0
"Fragilaria_crotonensis",1
"Fragilaria_mesolepta",1
"Fragilaria_rhabdosoma",1
"Fragilaria_tenera",1
"Fragilaria_vaucheriae",0
"Fragilariforma_virescens",1
"Frustulia_amphipleuroides",1
"Frustulia_krammeri",1
"Frustulia_vulgaris",1
"Geissleria_acceptata",1
"Geissleria_decussis",1
"Gomphonema_angustatum",1
"Gomphonema_gracile",0
"Gomphonema_kobayasii",1
"Gomphonema_minutum",1
"Gomphonema_olivaceoides",0
"Gomphonema_parvulum",0
"Gomphonema_pumilum",1
"Hippodonta_capitata",1
"Karayevia_clevei",1
"Karayevia_laterostrata",0
"Karayevia_oblongella",1
"Mayamaea_atomus",1
"Mayamaea_permitis",1
"Melosira_varians",1
"Meridion_circulare",1
"Navicula_angusta",0
"Navicula_antonii",1
"Navicula_capitatoradiata",1
"Navicula_cryptocephala",1
"Navicula_cryptotenella",1
"Navicula_gregaria",1
"Navicula_lanceolata",1
"Navicula_menisculus",1
"Navicula_notha",1
"Navicula_radiosafallax",1
"Navicula_rhynchocephala",1
"Navicula_rostellata",1
"Navicula_submuralis",1
"Navicula_tenelloides",1
"Navicula_tripunctata",1
"Navicula_trivialis",1
"Nitzschia_acidoclinata",1
"Nitzschia_amphibia",1
"Nitzschia_dissipata",1
"Nitzschia_fonticola",1
"Nitzschia_frustulum",1
"Nitzschia_heufleriana",1
"Nitzschia_inconspicua",1
"Nitzschia_linearis",1
"Nitzschia_palea",1
"Nitzschia_perminuta",1
"Nitzschia_recta",1
"Nitzschia_sociabilis",1
"Nitzschia_supralitorea",1
"Nitzschia_tubicola",1
"Nupela_lapidosa",0
"Parlibellus_protracta",1
"Placoneis_elginensis",1
"Planothidium_dubium",0
"Planothidium_frequentissimum",1
"Planothidium_lanceolatum",1
"Planothidium_rostratum",1
"Planothidium_stewartii",0
"Platessa_conspicua",1
"Psammothidium_bioretii",1
"Psammothidium_chlidanos",0
"Psammothidium_curtissimum",0
"Psammothidium_grischunum",1
"Psammothidium_subatomoides",0
"Pseudostaurosira_brevistriata",1
"Pseudostaurosira_parasitica",1
"Reimeria_sinuata",1
"Reimeria_uniseriata",0
"Rhoicosphenia_abbreviata",1
"Rossithidium_linearis",1
"Rossithidium_pusillum",1
"Sellaphora_pupula",1
"Sellaphora_seminulum",1
"Stauroforma_exiguiformis",0
"Staurosira_construens",1
"Staurosirella_leptostauron",1
"Staurosirella_pinnata",1
"Surirella_brebissonii",1
"Synedra_rumpens",1
"Tabellaria_fenestrata",1
"Tabellaria_flocculosa",1
"Ulnaria_ulna",1
