Spp,ROCCnt,IncrCnt,DecrCnt,UniCnt,Chi,ChiSig,GRP
Achnanthes.subhudsonis,1000,997,0,3,1.14E-09,1,H
Achnanthidium.altergracillima,530,1,999,0,0.392743915,0,NA
Achnanthidium.deflexum,9,0,1000,0,0.031732005,1,NA
Achnanthidium.exiguum,1000,1000,0,0,8.64E-06,1,H
Achnanthidium.minutissimum,1000,0,1000,0,1.22E-05,1,L
Achnanthidium.pyrenaicum,1,0,1000,0,0.497367496,0,NA
Achnanthidium.rivulare,1,957,12,0,0.550939776,0,NA
Achnanthidium.thienemannii,915,886,114,0,0.076839632,0,NA
Amphora.copulata,773,714,286,0,0.278999183,0,NA
Amphora.pediculus,1000,871,0,129,0.00169655,1,H
Asterionella.formosa,92,997,3,0,0.207730241,0,NA
Aulacoseira.granulata,1000,1000,0,0,0.001980757,1,H
Brachysira.brebissonii,1000,0,1000,0,0.004763292,1,L
Caloneis.bacillum,1000,361,0,639,2.19E-05,1,NA
Cocconeis.pediculus,904,1000,0,0,0.007406405,1,H
Cocconeis.placentula,936,1000,0,0,0.003446339,1,H
Ctenophora.pulchella,770,807,193,0,0.436790513,0,NA
Cyclotella.atomus,1000,723,277,0,0.187475828,0,NA
Cyclotella.meneghiniana,1000,1000,0,0,0.006571287,1,H
Cymbella.tumida,101,0,1000,0,0.081670217,0,NA
Diatoma.moniliformis,23,0,1000,0,0.526340886,0,NA
Diatoma.tenuis,753,0,1000,0,0.241191745,0,NA
Diatoma.vulgaris,1000,818,0,182,2.21E-05,1,H
Discostella.pseudostelligera,1000,1000,0,0,0.068762804,0,NA
Discostella.stelligera,1000,999,1,0,0.271331476,0,NA
Encyonema.minutum,7,992,6,0,0.357026853,0,NA
Encyonema.silesiacum,0,991,7,0,0.211006713,0,NA
Eolimna.minima,1000,986,0,14,1.84E-07,1,H
Eolimna.subminuscula,1000,1000,0,0,2.95E-11,1,H
Eucocconeis.laevis,580,0,1000,0,0.00235996,1,NA
Eunotia.bilunaris,993,998,2,0,0.002416677,1,H
Eunotia.exigua,1000,0,1000,0,0.007100331,1,L
Eunotia.formica,544,14,986,0,0.421528444,0,NA
Eunotia.implicata,265,0,1000,0,0.018883637,1,NA
Eunotia.incisa,1000,0,1000,0,0.000812078,1,L
Eunotia.minor,978,91,904,5,0.014186891,1,L
Eunotia.pectinalis,999,0,1000,0,0.002610329,1,L
Eunotia.rhomboidea,1000,0,1000,0,0.006811755,1,L
Fragilaria.capucina,0,0,1000,0,0.26813925,0,NA
Fragilaria.crotonensis,136,0,1000,0,0.150439992,0,NA
Fragilaria.mesolepta,1000,1000,0,0,0.003913168,1,H
Fragilaria.rhabdosoma,1000,0,1000,0,0.23273416,0,NA
Fragilaria.tenera,912,907,93,0,0.049146607,1,H
Fragilaria.vaucheriae,0,235,530,0,0.510366955,0,NA
Fragilariforma.virescens,756,0,1000,0,0.053293846,0,NA
Frustulia.amphipleuroides,995,874,126,0,0.230337049,0,NA
Frustulia.krammeri,983,797,203,0,0.263493728,0,NA
Frustulia.vulgaris,35,904,96,0,0.441782978,0,NA
Geissleria.acceptata,1000,1000,0,0,0.017554636,1,H
Geissleria.decussis,1000,998,0,0,0.126503895,0,NA
Gomphonema.angustatum,220,261,739,0,0.206307306,0,NA
Gomphonema.gracile,12,0,1000,0,0.178900039,0,NA
Gomphonema.kobayasii,902,1000,0,0,0.014017493,1,H
Gomphonema.minutum,1000,1000,0,0,0.035113046,1,H
Gomphonema.olivaceoides,17,985,15,0,0.410821892,0,NA
Gomphonema.parvulum,338,1000,0,0,0.131974035,0,NA
Gomphonema.pumilum,936,102,898,0,0.2741763,0,NA
Hippodonta.capitata,1000,1000,0,0,0.005993097,1,H
Karayevia.clevei,999,866,134,0,0.024009939,1,H
Karayevia.laterostrata,467,107,893,0,0.164404971,0,NA
Karayevia.oblongella,994,0,1000,0,0.096609813,0,NA
Mayamaea.atomus,1000,1000,0,0,0.00322118,1,H
Mayamaea.permitis,1000,1000,0,0,1.31E-05,1,H
Melosira.varians,999,1000,0,0,0.00428742,1,H
Meridion.circulare,1000,340,0,660,0.000217658,1,NA
Navicula.angusta,41,817,177,0,0.626130447,0,NA
Navicula.antonii,963,999,1,0,0.067320438,0,NA
Navicula.capitatoradiata,998,124,875,1,0.224530954,0,NA
Navicula.cryptocephala,12,1000,0,0,0.196062057,0,NA
Navicula.cryptotenella,1000,963,0,37,0.003209524,1,H
Navicula.gregaria,1000,1000,0,0,3.41E-14,1,H
Navicula.lanceolata,1000,700,0,300,1.48E-12,1,NA
Navicula.menisculus,974,944,56,0,0.113872305,0,NA
Navicula.notha,1000,0,1000,0,0.008100338,1,L
Navicula.radiosafallax,911,3,997,0,0.113871527,0,NA
Navicula.rhynchocephala,232,998,2,0,0.242492825,0,NA
Navicula.rostellata,1000,1000,0,0,0.045383536,1,H
Navicula.submuralis,1000,1000,0,0,0.003283541,1,H
Navicula.tenelloides,947,934,66,0,0.168803132,0,NA
Navicula.tripunctata,1000,999,0,1,0.000396743,1,H
Navicula.trivialis,893,998,2,0,0.085851861,0,NA
Nitzschia.acidoclinata,999,941,59,0,0.016395451,1,H
Nitzschia.amphibia,1000,237,0,763,1.39E-10,1,NA
Nitzschia.dissipata,1000,789,0,211,0.000172618,1,NA
Nitzschia.fonticola,1000,1000,0,0,2.26E-05,1,H
Nitzschia.frustulum,1000,1000,0,0,0.043390255,1,H
Nitzschia.inconspicua,1000,1000,0,0,3.77E-19,1,H
Nitzschia.linearis,19,867,133,0,0.352956635,0,NA
Nitzschia.palea,1000,1000,0,0,0.00102585,1,H
Nitzschia.perminuta,866,998,0,0,0.213820157,0,NA
Nitzschia.recta,898,766,234,0,0.184206112,0,NA
Nitzschia.sociabilis,1000,999,0,1,0.124210105,0,NA
Nitzschia.supralitorea,995,1000,0,0,0.017619805,1,H
Nitzschia.tubicola,1000,1000,0,0,0.128177577,0,NA
Nupela.lapidosa,110,4,996,0,0.546030763,0,NA
Parlibellus.protracta,1000,1000,0,0,0.014111246,1,H
Placoneis.elginensis,994,1000,0,0,0.037922967,1,H
Planothidium.dubium,30,979,21,0,0.394955307,0,NA
Planothidium.frequentissimum,1000,1000,0,0,1.42E-06,1,H
Planothidium.lanceolatum,1000,907,0,93,4.21E-07,1,H
Planothidium.rostratum,1000,1000,0,0,0.004789362,1,H
Planothidium.stewartii,526,10,990,0,0.041986968,1,NA
Platessa.conspicua,584,1000,0,0,0.038440077,1,NA
Psammothidium.bioretii,996,27,970,3,0.028745943,1,L
Psammothidium.chlidanos,84,916,84,0,0.168886746,0,NA
Psammothidium.curtissimum,3,934,66,0,0.677520025,0,NA
Psammothidium.grischunum,666,290,710,0,0.484131966,0,NA
Psammothidium.subatomoides,8,991,4,0,0.291154847,0,NA
Pseudostaurosira.brevistriata,1000,988,12,0,0.179606647,0,NA
Pseudostaurosira.parasitica,1000,1000,0,0,0.019637972,1,H
Reimeria.sinuata,1000,1000,0,0,1.26E-06,1,H
Reimeria.uniseriata,62,0,1000,0,0.526734836,0,NA
Rhoicosphenia.abbreviata,1000,36,0,964,1.33E-11,1,I
Rossithidium.linearis,656,3,997,0,0.063652371,0,NA
Rossithidium.pusillum,1000,0,1000,0,0.002005917,1,L
Sellaphora.pupula,999,1000,0,0,0.00260654,1,H
Sellaphora.seminulum,1000,1000,0,0,9.81E-06,1,H
Stauroforma.exiguiformis,122,0,1000,0,0.520855176,0,NA
Staurosira.construens,149,1000,0,0,0.048544875,1,NA
Staurosirella.leptostauron,1000,1000,0,0,0.071898859,0,NA
Staurosirella.pinnata,999,996,0,4,0.010173693,1,H
Surirella.brebissonii,1000,1000,0,0,2.60E-05,1,H
Synedra.rumpens,67,0,1000,0,0.023692097,1,NA
Tabellaria.fenestrata,1000,0,1000,0,0.182045706,0,NA
Tabellaria.flocculosa,1000,0,1000,0,4.88E-05,1,L
Ulnaria.ulna,1,975,25,0,0.069032791,0,NA
