"","chi","roc","tolcl","SigChi","SigRoc","Sig"
"ACsubkra",2.15442127940063e-06,0.818386568386568,"Increasing",1,1,1
"ADsuchla",0.0668203975013474,0.764,"Decreasing",0,1,0
"AHalterg",0.278705159041569,0.638702460850112,"Decreasing",0,1,0
"Ahdeflex",0.104781273393927,0.616479925303455,"Decreasing",0,1,0
"AHmingra",0.0471872282501603,0.677721088435374,"Decreasing",1,1,1
"AHminuti",0.00793719117870167,0.745524296675192,"Decreasing",1,1,1
"AHpyrena",0.0392351879063622,0.674769230769231,"Decreasing",1,1,1
"Ahrivula",0.0699329771386947,0.665247678018576,"Increasing",0,1,0
"AMpedcls",7.28815264082286e-05,0.727674624226348,"Unimodal",1,1,1
"CAbacill",0.0136002288954325,0.854586129753915,"Increasing",1,1,1
"CCpedcls",0.353689846237312,0.5703125,"Increasing",0,0,0
"CCplacen",0.524297719992731,0.548134576948701,"Increasing",0,0,0
"CCplalin",0.117299898931253,0.534133333333333,"Increasing",0,0,0
"CMtumida",0.00621064252362163,0.780821917808219,"Decreasing",1,1,1
"CYmenegh",0.0153221030509808,0.848993288590604,"Increasing",1,1,1
"ECminutu",0.142156718985834,0.555692307692308,"Increasing",0,0,0
"ECsilesi",0.0830272856512612,0.635177687809267,"Increasing",0,1,0
"Eolmini",0.41759204891874,0.601841820151679,"Increasing",0,1,0
"EOminima",0.00317863049223746,0.779808773903262,"Increasing",1,1,1
"EOsubmin",7.29147500537107e-05,0.934362934362934,"Increasing",1,1,1
"EUexigua",0.0111084420407897,0.837333333333333,"Decreasing",1,1,1
"EUimplic",0.00717835228569421,0.715601300108342,"Decreasing",1,1,1
"EUincisa",0.18574988648342,0.66,"Decreasing",0,1,0
"EUminor",0.0277667886140363,0.796332046332046,"Increasing",1,1,1
"FIsapro",0.000186427061030451,0.922666666666667,"Increasing",1,1,1
"FRcapuci",0.227517633428606,0.533783783783784,"Increasing",0,0,0
"FRcroton",0.0228017995351519,0.749655172413793,"Decreasing",1,1,1
"FRrhabdo",0.433585875636223,0.780888030888031,"Decreasing",0,1,0
"FRvauche",0.259217905330509,0.503598740440846,"Increasing",0,0,0
"GEaccep",0.291953086726348,0.659955257270693,"Increasing",0,1,0
"GOangstt",0.471936143151774,0.626398210290828,"Decreasing",0,1,0
"GOkobaya",0.327020949212492,0.633503401360544,"Increasing",0,1,0
"GOminutm",0.48376546431326,0.625570776255708,"Increasing",0,1,0
"GOolivac",0.270670348833114,0.640926640926641,"Increasing",0,1,0
"GOparvul",0.206708186658972,0.48762157382847,"Increasing",0,0,0
"KVoblong",0.443249041442154,0.626398210290828,"Decreasing",0,1,0
"MDcircul",0.346900464508253,0.708275862068966,"Increasing",0,1,0
"MEvarian",0.0325679552413979,0.654144305307096,"Increasing",1,1,1
"MYpermit",2.0962963618683e-05,0.899310344827586,"Increasing",1,1,1
"NAantoni",4.42540887200147e-05,0.828671328671329,"Increasing",1,1,1
"NAcrypto",0.339368911171523,0.598455598455598,"Increasing",0,0,0
"NAcrytds",0.0105484859451549,0.854666666666667,"Increasing",1,1,1
"NAcryten",0.020756993728927,0.716921119592875,"Increasing",1,1,1
"NAgregar",9.05472048170275e-07,0.802811690714021,"Increasing",1,1,1
"NAlancel",4.58250791729242e-05,0.793532338308458,"Unimodal",1,1,1
"NAsubmur",0.00526475456919604,0.901333333333333,"Increasing",1,1,1
"NAtripun",0.00148526172418196,0.763990267639903,"Increasing",1,1,1
"NIamphib",0.0052807643047247,0.905333333333333,"Increasing",1,1,1
"NIdissip",0.00203706207700907,0.835172413793103,"Increasing",1,1,1
"NIfontic",0.0108842113691381,0.768065268065268,"Increasing",1,1,1
"NIfrustu",0.133152052667936,0.706935123042506,"Increasing",0,1,0
"NIincons",5.23979062967149e-17,0.911604361370717,"Increasing",1,1,1
"NIpalea",0.0343238391137681,0.678175618073316,"Increasing",1,1,1
"PLconspi",0.065814989094292,0.723639455782313,"Increasing",0,1,0
"PSsubato",0.00511962709786636,0.797241379310345,"Increasing",1,1,1
"PTfreq",0.000492492856709027,0.772632890365448,"Increasing",1,1,1
"PTlanceo",0.00048285179271478,0.772931654676259,"Increasing",1,1,1
"REsinuta",8.27836265506544e-08,0.744173728813559,"Unimodal",1,1,1
"ROabbre",2.18367178255432e-05,0.773954864964854,"Increasing",1,1,1
"RSlinea",0.0288619045215497,0.760204081632653,"Decreasing",1,1,1
"RSpusill",0.0371265888742709,0.736486486486487,"Decreasing",1,1,1
"SApinnat",0.0526702018364537,0.788265306122449,"Increasing",0,1,0
"Sellatom",0.000139165212578136,0.874708624708625,"Increasing",1,1,1
"SRconven",0.591383174450594,0.678666666666667,"Decreasing",0,1,0
"SYrumpen",0.360616422539301,0.581002331002331,"Decreasing",0,0,0
"UlnaUlna",0.0554743016636927,0.762548262548263,"Increasing",0,1,0
